"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"213464","0","PATCHAM MEMORIAL HALL","3 OLD LONDON ROAD, PATCHAM, BRIGHTON, EAST SUSSEX","BN1 8XR","Brighton Pavilion","01273500470","patchammemorialhall@gmail.com","http://www.pmhpatcham.org.uk","31/12/2024","21845","18029","Registered","Other","Provides Buildings/facilities/open Space","General Charitable Purposes, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","maintaining the Patcham Memorial Hall for use by the local community.","VILLAGE HALL FOR THE USE AND BENEFIT OF THE INHABITANTS OF PATCHAM."
"213851","0","BRIGHTON DISTRICT NURSING ASSOCIATION TRUST","30 Coleman Avenue, HOVE, East Sussex","BN3 5NB","Hove and Portslade","07764293562","dan.may-jones@bdnat.org.uk","www.bdnat.org.uk","31/12/2023","67245","100669","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","The Advancement Of Health Or Saving Of Lives, Disability","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","To relieve in cases of need persons who are resident in,or who are patients of medical practitioners in the County Borough of Brighton and Hove who are sick,convalescent,disabled,handicapped or infirm.","1) FOR RELIEF IN SICKNESS FOR THE PURPOSE OF RELIEVING IN CASES OF NEEDY PERSONS RESIDENT IN THE AREA OF THE COUNTY BOROUGH OF BRIGHTON AND HOVE  WHO ARE SICK, CONVALESCENT, DISABLED, HANDICAPPED OR INFIRM BY PROVIDING OR PAYING FOR ITEMS, SERVICES OR FACILITIES WHICH ARE CALCULATED TO ALLEVIATE THE SUFFERING OR ASSIST THE RECOVERY OF SUCH PERSONS IN SUCH CASES BUT ARE NOT READILY AVAILABLE TO THEM FROM OTHER SOURCES. 2) WITH A VIEW TO ASSISTING IN THE PROVISION OF AN EFFICIENT DOMICILIARY NURSING SERVICE IN THE AREA OF THE FORMER COUNTY BOROUGH OF BRIGHTON BY MAKING GRANTS AND PAYING PENSIONS IN CASES OF NEED TO NURSES WHO ARE ENGAGED IN DOMICILIARY NURSING IN THE SAID AREA OR TO RETIRED NURSES WHO WERE SO ENGAGED."
"230147","0","HEDGCOCK BEQUEST","Brighton & Hove City Council, Democratic Services, Room 167, Hove Town Hall","Norton R","","01273291114","jonathan.best@brighton-hove.gov.uk","www.brighton-hove.gov.uk/communitygrants","31/03/2024","51732","54927","Registered","Other","Makes Grants To Organisations","General Charitable Purposes","Other Defined Groups","Grants are awarded to small community and voluntary groups that must work for the benefit of residents of Brighton & Hove.","FOR SUCH CHARITABLE PURPOSES, INSTITUTIONS OR OTHER CHARITABLE OBJECTS IN ENGLAND AS THE BRIGHTON CORPORATION MAY IN THEIR ABSOLUTE DISCRETION SELECT."
"232393","0","CHARITY OF MISS M J HARDY","Ambleside, St. Johns Road, CROWBOROUGH","TN6 1RR","Sussex Weald","01892654431","","","31/12/2024","0","0","Registered","Other","Makes Grants To Individuals","The Prevention Or Relief Of Poverty","Other Defined Groups","Relief of Poverty.","INCOME USED IN THE ABSOLUTE DISCRETION OF THE COUNCIL TO HELP MEMBERS OF THE CONGREGATION OF FLORENCE ROAD BAPTIST CHURCH WHO ARE IN SPECIAL NEED OF ASSISTANCE."
"235403","0","BLUEBIRD SOCIETY FOR THE DISABLED","176 PORTLAND ROAD, HOVE, EAST SUSSEX","BN3 5QN","Hove and Portslade","01273207664","bluebird.hove@googlemail.com","","31/03/2024","37654","28306","Registered","Other","Provides Human Resources, Provides Services","General Charitable Purposes, Disability, Other Charitable Purposes","Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Transporting elderly and disabled persons to club activities, outings, theatre trips, hospitals, doctor appointments as required all at cost prices. We do not receive any funding local or national.","TO PROMOTE THE WELFARE OF DISABLED PERSONS RESIDENT IN HOVE. TO CO-OPERATE WITH THE HOVE BOROUGH COUNCIL IN THE PERFORMANCE OF THEIR POWERS AND DUTIES UNDER SECTIONS 29 AND 30 OF THE NATIONAL ASSISTANCE ACT, 1948 AND ANY AMENDMENTS THEREOF."
"235465","0","LETITIA TILBURY TARNER AND LORD HADDO TRUST","Flat 12, Romney Court, Winchelsea Gardens, WORTHING","BN11 5EU","Worthing West","01903246578","ltt1968@gmx.com","https://ltt1968.simplesite.com","31/03/2024","2998","4110","Registered","Other","Makes Grants To Organisations","Education/training, Religious Activities","Children/young People, Other Defined Groups","Grants to St Mary's Church, Kemptown, Brighton and grants to churches and schools for the religious education of children and young people in the City of Brighton and Hove.","(1) TO ADVANCE EDUCATION; AND(2) TO ADVANCE RELIGION AMONGST THE GENERAL PUBLIC WITHIN THE AREA OF BENEFIT."
"235513","0","CHARITY OF AGNES ALICE HOTTON","211 New Church Road, Hove, East Sussex","BN3 4ED","Hove and Portslade","01273420556","stleonardsaldringtoncw@gmail.com","","31/12/2024","29","29","Registered","Other","Makes Grants To Individuals","General Charitable Purposes","The General Public/mankind","To maintain the grave of Agnes Alice Hotton in St Leonard's Churchyard","FOR SUCH CHARITABLE PURPOSES FOR THE BENEFIT OF THE PARISH AS THE TRUSTEES THINK FIT."
"236963","0","NEW LIFE CHRISTIAN CHURCH HOVE","2 RUTLAND ROAD, HOVE","BN3 5FF","Hove and Portslade","07446692643","Rev.jp@city4christ.org","www.inewlife.org,uk","31/03/2023","38205","37769","Registered","Trust","Other Charitable Activities","Religious Activities","The General Public/mankind","CHURCH - PRAYER - BIBLE STUDY - COMMUNION
STREET & EVENT EVANGELISM
TEACHING CONFERENCES
HOMELESS OUTREACH
PASTORAL CARE
SOCIAL ACTION
MISSION TRIPS","MANSE FOR MINISTER."
"238045","0","LONDON PHILHARMONIC ORCHESTRA LIMITED","LONDON PHILHARMONIC ORCHESTRA LTD, CAMELFORD HOUSE, 87-90 ALBERT EMBANKMENT, LONDON","SE1 7TP","Vauxhall and Camberwell Green","02078404200","david.burke@lpo.org.uk","www.lpo.org.uk","31/08/2024","12736854","11885064","Registered","Charitable company","Provides Services","Arts/culture/heritage/science","Children/young People, The General Public/mankind","PROVISION OF ORCHESTRAL SERVICES AND MUSIC EDUCATION","THE COMPANY IS ESTABLISHED TO PROMOTE, MAINTAIN, IMPROVE AND ADVANCE EDUCATION, PARTICULARLY MUSICAL EDUCATION, AND TO ENCOURAGE THE ARTS, INCLUDING THE ARTS OF MUSIC, DRAMA, MIME, DANCE, AND SINGING AND TO FORMULATE, PREPARE AND ESTABLISH SCHEMES THEREFORE PROVIDED THAT THE OBJECTS OF THE COMPANY SHALL BE OF A CHARITABLE NATURE ONLY. AND, AS ANCILLARY TO THE FOREGOING OBJECTS TO HOLD AND PARTICIPATE IN CONCERTS, AND TO PERFORM ORCHESTRAL AND INSTRUMENTAL WORKS, OPERAS, BALLETS AND ENTERTAINMENTS OF THIS KIND AND TO FORM AND MAINTAIN A SYMPHONIC ORCHESTRA OF THE HIGHEST POSSIBLE STANDING TO SERVE THE NEEDS OF THIS AND OTHER MUSICAL INSTITUTIONS IN GREAT BRITAIN AND ABROAD."
"239123","0","FIRST CHURCH OF CHRIST SCIENTIST BRIGHTON AND HOVE","First Church Of Christ Scientist, 97 Montpelier Road, BRIGHTON","BN1 3BE","Brighton Pavilion","01273 325100","FCCSbrighton@gmail.com","www.csbrighton.com","31/05/2024","43170","44359","Registered","Other","Other Charitable Activities","General Charitable Purposes, Religious Activities","The General Public/mankind","The Church holds Sunday services, Sunday school, and maintains a Reading Room for use by the public, in accordance with the Mother Church Manual.","THE OBJECT OF THE CHARITY IS THE ADVANCEMENT OF RELIGION FOR THE BENEFIT OF THE PUBLIC SO AS TO PROMOTE THE CAUSE OF CHRISTIAN SCIENCE IN SUCH WAYS ONLY AS ARE STRICTLY CONSONANT WITH THE TEACHING AND PRACTICE OF CHRISTIAN SCIENCE AS SET FORTH IN “SCIENCE AND HEALTH WITH KEY TO THE SCRIPTURES” BY MARY BAKER EDDY AND WITH THE MANUAL OF THE MOTHER CHURCH THE FIRST CHURCH OF CHRIST SCIENTIST IN BOSTON MASSACHUSETTS IN THE UNITED STATES OF AMERICA."
"240453","0","OVINGDEAN VILLAGE HALL","Village Hall, Ovingdean Road, Ovingdean, BRIGHTON","BN2 7BB","Brighton Kemptown and Peacehaven","01273308884","julie@veck.me.uk","www.ovingdean.co.uk","31/08/2024","31271","28494","Registered","Other","Provides Buildings/facilities/open Space","Arts/culture/heritage/science, Amateur Sport, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","Up keep and maintenance of Ovingdean Village Hall for use of the people living in the area of Benefit.","THE PROVISION AND MAINTAINANCE OF A VILLAGE HALL FOR THE USE OF THE INHABITANTS OF OVINGDEAN AND SURROUNDING DISTRICT AS DEFINED BY BRIGHTON BOROUGH COUNCIL AS OVINGDEAN NEIGHBOURHOOD WITHOUT DISTINCTION OF POLITICAL RELIGIOUS OR OTHER OPINIONS INCLUDING USE FOR MEETINGS LECTURES AND CLASSES AND FOR OTHER FORMS OF RECREATION AND LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS."
"243134","0","THE CHICHESTER DIOCESAN FUND AND BOARD OF FINANCE (INCORPORATED)","CHURCH HOUSE, 211 NEW CHURCH ROAD, HOVE","BN3 4ED","Hove and Portslade","01273421021","adminhelpdesk@chichester.anglican.org","www.chichester.anglican.org","31/12/2024","22057000","21132000","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, Religious Activities","The General Public/mankind","The charity's principal activity is to promote, assist and advance the work of the Church of England in the Diocese of Chichester.","TO PROMOTE, CARRY ON, ASSIST, BENEFIT AND ADVANCE THE WORK, WHICH, IS LEGALLY CHARITABLE, OF THE CHURCH OF ENGLAND IN THE DIOCESE OF CHICHESTER OR ELSEWHERE, IN ALL OR ANY OF ITS BRANCHES."
"249748","0","BRIGHTON DOME AND FESTIVAL LTD","First Floor Offices, The Dance Space, 2 Market Square, Circus Street, Brighton","BN2 9AS","Brighton Kemptown and Peacehaven","01273260814","info@brightonfestival.org","www.brightondome.org","31/03/2024","16301439","17116415","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Arts/culture/heritage/science","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Brighton Dome & Festival Limited is constituted to advance education through the promotion, production and encouragement of a variety of art forms including music, dance, theatre and outdoor performance. This objective is realised through the annual presentation of the Brighton Festival and the year round operation of Brighton Dome.","TO PROMOTE, MAINTAIN, IMPROVE AND ADVANCE EDUCATION PARTICULARLY BY THE PROMOTION OF EDUCATIONAL PLAYS AND THE ENCOURAGEMENT OF THE ARTS INCLUDING THE ARTS OF MUSIC, BALLET, SINGING, DRAMA, MIME, DANCING, AND TO FORMULATE, PREPARE AND ESTABLISH SCHEMES THEREFORE, PROVIDED THAT ALL OBJECTS OF THE SOCIETY SHALL BE OF A CHARITABLE NATURE."
"250184","0","HOVE PARISH CHURCH HALL (RALLI MEMORIAL)","The Parish Office, The Vicarage, Wilbury Road, Hove","Hove","","01273733331","office@allsaintshove.org","www.allsaintshove.org","31/12/2024","53078","58371","Registered","Other","Provides Buildings/facilities/open Space, Provides Advocacy/advice/information","Religious Activities","The General Public/mankind","Promotion of the mission of the church, pastoral, evangelistic, social and ecumenical including the letting of the charity's premises to local organisations.","A HALL FOR PARISH PURPOSES IN CONNECTION WITH THE CHURCH OF ENGLAND. (FOR FURTHER DETAILS SEE CLAUSE 12 OF THE INDENTURE)."
"250921","0","BRIGHTON AND HOVE PHILHARMONIC SOCIETY LIMITED","Brighton Philharmonic Orchestra, Community Base, 113 Queens Road, Brighton, East Sussex","BN1 3XG","Brighton Pavilion","01273234801","mail@brightonphil.org.uk","www.brightonphil.org.uk","31/03/2024","548557","560118","Registered","Charitable company","Provides Services","Arts/culture/heritage/science","The General Public/mankind","The Society is established to promote and assist the study, practice, knowledge and appreciation of music, and generally advance the cause of music. It aims to bring pleasure to the local community through providing high quality, varied classical music programmes, professionally performed, at realistic prices to the audience, within the Society's available resources.","TO PROMOTE AND ASSIST THE STUDY, PRACTICE, KNOWLEDGE AND APPRECIATION OF MUSIC, AND GENERALLY TO ADVANCE THE CAUSE OF MUSIC. (FOR FULLER DETAILS SEE MEMORANDUM OF ASSOCIATION.)"
"251484","0","ST BARNABAS PAROCHIAL INSTITUTION FUND","St. Barnabas  Vicarage, 88 Sackville Road, HOVE, East Sussex","BN3 3HE","Hove and Portslade","01273881761","frjohn@live.co.uk","www.stbarnabashove.co.uk","31/12/2022","52","0","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Religious Activities","Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","None.Donations to charitable organisations or individuals resident in Hove","FURTHERING THE RELIGIOUS AND OTHER CHARITABLE WORK OF THE CHURCH OF ENGLAND IN THE ECCLESIASTICAL PARISH OF ST BARNABAS, HOVE."
"252222","0","THE COMMUNITY TRUST OF THE BLESSED VIRGIN MARY","9 Russell Place, Brighton","BN1 2RG","Brighton Pavilion","01273206478","ctbvm.clerk@gmail.com","www.community-trust-bvm.org.uk","31/12/2023","55486","85323","Registered","Other","Makes Grants To Organisations","Education/training, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People, Other Charities Or Voluntary Bodies, Other Defined Groups","Grant Making to other charities and organisations in the Brighton and Hove area particularly those involving impoverished or disadvantaged women and children and the local Church of England Primary Schools","(1) TO ADVANCE THE RELIGIOUS AND OTHER CHARITABLE WORK OF THE CHURCH OF ENGLAND PARISHES WITHIN BRIGHTON AND HOVE CONNECTED WITH THE REVEREND ARTHUR DOUGLAS WAGNER;
(2) TO ADVANCE THE RELIGIOUS AND OTHER EDUCATIONAL WORK OF THE CHURCH OF ENGLAND VOLUNTARY SCHOOLS IN BRIGHTON AND HOVE;
(3) TO RELIEVE CHILDREN AND YOUNG PEOPLE IN BRIGHTON AND HOVE IN NEED BY REASON OF ILL HEALTH, DISABILITY OR FINANCIAL HARDSHIP;
(4) TO FURTHER ANY OTHER CHARITABLE PURPOSE FOR THE BENEFIT OF THE INHABITANTS OF BRIGHTON AND HOVE AS THE TRUSTEES DECIDE."
"252878","0","ARUNDEL AND BRIGHTON DIOCESAN TRUST","The Catholic Diocese of Arundel & Brighton, The St Philip Howard Centre, 4 Southgate Drive, CRAWLEY, West Sussex","RH10 6RP","Crawley","01293 651145","coo@abdiocese.org.uk","https://www.abdiocese.org.uk/","31/12/2023","17122000","18139000","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Education/training, Religious Activities","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","The advancement of the Roman Catholic religion and education within the Diocese of Arundel & Brighton and beyond.  The Diocese covers the city of Brighton & Hove, the counties of East and West Sussex, and Surrey outside the London boroughs.","THE ADVANCEMENT OF THE ROMAN CATHOLIC RELIGION. SEE CLAUSE 2 OF TRUST DEED."
"255060","0","BRIGHTON AND HOVE JEWISH WELFARE BOARD","168 Church Road, Hove, East Sussex","BN3 2DL","Hove and Portslade","01273726445","info@bhjwb.org","www.bhjwb.org","31/12/2024","45605","88978","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","In accordance with our Registered Constitution.","TO PROMOTE ALL OR ANY OF THE FOLLOWING CHARITABLE PURPOSES FOR THE BENEFIT OF PERSONS OF JEWISH FAITH RESIDENT IN THE CITY OF BRIGHTON & HOVE AND THE SURROUNDING AREAS: 1. THE RELIEF OF POVERTY, HARDSHIP AND DISTRESS, 2. THE RELIEF OF THE AGED, 3. THE RELIEF OF THE SICK AND THOSE SUFFERING FROM EITHER PHYSICAL OR MENTAL IMPAIRMENT, 4. THE PRESERVATION AND PROTECTION OF HEALTH, THE ADVANCEMENT OF EDUCATION AND 6. THE PROVISION IN THE INTEREST OF SOCIAL WELFARE , OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION OF YOUNG PEOPLE"
"256936","0","SUSSEX ORNITHOLOGICAL SOCIETY","Blessings, Barns Farm Lane, Storrington, Pulborough","RH20 4AH","Arundel and South Downs","01903745166","merrited2@gmail.com","www.sos.org.uk","31/12/2024","41983","29526","Registered","Other","Provides Advocacy/advice/information","Environment/conservation/heritage","The General Public/mankind","To record and study wild birds in the county of Sussex.
To assist in the conservation of the wild birds of Great Britain.
To engage, inspire and educate people to enjoy, appreciate and understand birds and their habitats.","A) TO RECORD AND STUDY WILD BIRDS IN THE COUNTRY OF SUSSEX. B) TO ASSIST IN THE PRESERVATION OF WILD BIRDS IN GREAT BRITAIN. C) TO ENCOURAGE BY THE USE OR FILMS, BOOKS, MEETINGS, OUTINGS AND OTHER MEANS (I) THE STUDY OF BIRDS IN THE FIELD AND ORNITHOLOGICAL SCIENCE GENERALLY AND (II) THE EDUCATION OF ITS MEMBERS AND THE GENERAL PUBLIC IN ORNITHOLOGICAL, SCIENCE AND THE NEED FOR PROTECTION OF WILD BIRDS AND THEIR HABITATS."
"257002","0","HOVE AND PORTSLADE AID IN SICKNESS ASSOCIATION","2 Edgehill Way, Portslade, BRIGHTON","BN41 2PU","Hove and Portslade","07784771014","dbs12@btinternet.com","","30/06/2024","14078","12650","Registered","Other","Makes Grants To Individuals","The Advancement Of Health Or Saving Of Lives, Disability","Children/young People, Elderly/old People, People With Disabilities","For the benefit of those who live within the old boundaries of Hove or Portslade who are sick, convalescent, disabled, handicapped or infirm.","TO RELIEVE IN CASES OF NEED PERSONS RESIDENT IN THE BOROUGH OF HOVE AND THE URBAN DISTRICT OF PORTSLADE-BY-SEA WHO ARE SICK CONVALESCENT DISABLED HANDICAPPED OR INFIRM."
"257130","0","LEAGUE OF FRIENDS OF THE PRINCESS ROYAL HOSPITAL","4 DUKES ROAD, LINDFIELD, HAYWARDS HEATH","RH16 2JH","Mid Sussex","07799066481","foxyharding@btinternet.com","www.prhfriends.org","31/03/2024","725082","551933","Registered","Other","Makes Grants To Organisations, Provides Services","The Advancement Of Health Or Saving Of Lives","Children/young People, Elderly/old People, People With Disabilities","The charity runs a shop in the Princess Royal Hospital Haywards Heath and raises funds with other activities such as Golf days /street collections","A) TO SUPPLEMENT THE SERVICE OF THE HOSPITAL FOR THE HEALTH, WELFARE AND COMFORT OF THE PATIENTS THEREIN BY THE PROVISION OF FACILITIES, BUILDINGS AND EQUIPMENT WHICH MAY BE REQUIRED FOR THE TREATMENT OF SUCH PATIENTS, OR, FOR THE RUNNING OF THE HOSPITAL AND; B) TO PROVIDE, OR ASSIST IN THE PROVISION OF, AMENITIES IN THE HOSPITAL FOR PATIENTS AND STAFF, INCLUDING THE PROVISION AND OPERATION OF HOSPITAL SHOPS.  TO ASSIST FORMER PATIENTS OF THE HOSPITAL."
